iter	Passed	Remaining
0	242	241930
1	244	121771
2	245	81622
3	246	61418
4	248	49388
5	249	41300
6	250	35489
7	251	31134
8	251	27742
9	252	25036
10	254	22847
11	255	21006
12	256	19492
13	257	18148
14	258	16991
15	259	15972
16	260	15075
17	261	14284
18	262	13573
19	263	12930
20	265	12354
21	266	11849
22	268	11391
23	269	10952
24	270	10549
25	272	10219
26	273	9870
27	275	9546
28	275	9241
29	277	8957
30	277	8688
31	278	8438
32	279	8199
33	280	7977
34	281	7767
35	282	7569
36	283	7381
37	284	7208
38	285	7043
39	287	6889
40	289	6766
41	290	6633
42	291	6493
43	292	6364
44	294	6242
45	295	6124
46	297	6028
47	299	5930
48	300	5822
49	301	5719
50	302	5627
51	303	5533
52	304	5442
53	305	5354
54	306	5270
55	307	5187
56	308	5106
57	309	5034
58	310	4959
59	312	4890
60	313	4831
61	315	4766
62	316	4700
63	317	4636
64	318	4576
65	319	4519
66	320	4460
67	320	4397
68	321	4342
69	323	4291
70	324	4241
71	325	4190
72	326	4141
73	327	4100
74	329	4061
75	330	4016
76	331	3970
77	332	3926
78	333	3883
79	334	3841
80	335	3801
81	336	3762
82	337	3725
83	338	3688
84	339	3649
85	340	3614
86	340	3576
87	342	3549
88	344	3523
89	345	3493
90	347	3472
91	348	3442
92	349	3412
93	351	3383
94	352	3354
95	353	3324
96	354	3297
97	355	3270
98	357	3249
99	360	3246
100	362	3222
101	362	3193
102	364	3170
103	365	3147
104	366	3123
105	367	3097
106	368	3075
107	370	3057
108	376	3075
109	377	3057
110	379	3036
111	380	3015
112	381	2992
113	382	2970
114	383	2947
115	383	2924
116	384	2902
117	385	2880
118	386	2859
119	388	2851
120	390	2837
121	391	2819
122	392	2797
123	393	2778
124	394	2759
125	395	2741
126	396	2723
127	396	2703
128	397	2685
129	398	2667
130	399	2650
131	401	2637
132	403	2630
133	404	2617
134	406	2603
135	407	2589
136	408	2575
137	409	2558
138	410	2544
139	411	2530
140	412	2515
141	413	2500
142	414	2486
143	416	2476
144	418	2467
145	420	2462
146	422	2452
147	423	2437
148	424	2424
149	425	2410
150	426	2398
151	427	2387
152	429	2376
153	432	2374
154	434	2367
155	435	2355
156	436	2345
157	437	2332
158	438	2320
159	439	2308
160	440	2295
161	441	2283
162	442	2271
163	443	2259
164	444	2247
165	445	2236
166	447	2232
167	449	2226
168	450	2216
169	451	2204
170	452	2193
171	453	2183
172	454	2172
173	455	2162
174	456	2151
175	457	2141
176	458	2132
177	462	2137
178	464	2132
179	465	2122
180	466	2110
181	467	2101
182	468	2092
183	469	2083
184	470	2074
185	471	2065
186	473	2057
187	476	2059
188	478	2055
189	480	2047
190	481	2037
191	481	2028
192	482	2019
193	483	2010
194	484	2001
195	485	1992
196	486	1983
197	487	1975
198	488	1966
199	489	1958
200	491	1953
201	492	1945
202	493	1936
203	494	1929
204	495	1923
205	496	1915
206	497	1907
207	498	1899
208	499	1892
209	501	1884
210	502	1877
211	503	1870
212	504	1864
213	505	1858
214	507	1851
215	508	1844
216	509	1837
217	510	1831
218	511	1824
219	512	1816
220	513	1809
221	514	1802
222	515	1795
223	516	1788
224	517	1781
225	518	1774
226	519	1768
227	521	1765
228	522	1759
229	523	1753
230	524	1746
231	525	1740
232	526	1734
233	527	1727
234	528	1721
235	529	1715
236	530	1709
237	532	1705
238	533	1699
239	534	1693
240	535	1687
241	536	1681
242	537	1675
243	538	1668
244	539	1662
245	540	1656
246	541	1650
247	542	1644
248	543	1638
249	544	1632
250	545	1626
251	546	1621
252	547	1615
253	548	1610
254	549	1605
255	550	1600
256	552	1596
257	552	1590
258	554	1585
259	555	1580
260	556	1575
261	557	1569
262	558	1564
263	559	1558
264	560	1553
265	561	1550
266	562	1545
267	564	1540
268	564	1535
269	565	1529
270	566	1524
271	567	1519
272	568	1513
273	569	1508
274	570	1502
275	570	1497
276	571	1492
277	572	1487
278	573	1482
279	574	1477
280	575	1472
281	576	1467
282	577	1463
283	578	1458
284	579	1454
285	580	1450
286	581	1445
287	582	1440
288	583	1435
289	584	1431
290	585	1426
291	586	1422
292	587	1417
293	588	1413
294	589	1408
295	590	1404
296	591	1401
297	593	1397
298	594	1392
299	595	1388
300	595	1383
301	596	1379
302	597	1375
303	598	1370
304	599	1366
305	600	1362
306	601	1358
307	602	1353
308	603	1349
309	604	1345
310	605	1342
311	606	1338
312	607	1334
313	608	1330
314	609	1326
315	610	1322
316	611	1318
317	612	1314
318	613	1310
319	614	1306
320	615	1302
321	616	1298
322	617	1294
323	618	1291
324	619	1287
325	620	1283
326	622	1280
327	623	1276
328	624	1273
329	625	1269
330	626	1265
331	627	1262
332	628	1258
333	629	1254
334	630	1251
335	631	1247
336	632	1243
337	633	1240
338	634	1237
339	635	1234
340	636	1230
341	637	1227
342	638	1223
343	639	1220
344	640	1216
345	641	1212
346	642	1208
347	643	1205
348	644	1201
349	644	1197
350	645	1193
351	646	1190
352	647	1186
353	648	1183
354	649	1179
355	650	1176
356	651	1172
357	651	1169
358	652	1165
359	654	1162
360	655	1159
361	655	1156
362	656	1152
363	657	1149
364	658	1146
365	659	1142
366	660	1139
367	661	1135
368	662	1132
369	663	1129
370	664	1126
371	665	1123
372	666	1120
373	667	1117
374	668	1114
375	669	1111
376	670	1108
377	671	1105
378	672	1101
379	673	1099
380	674	1096
381	675	1093
382	676	1090
383	677	1087
384	678	1084
385	679	1081
386	680	1078
387	681	1075
388	682	1072
389	683	1069
390	684	1066
391	685	1063
392	686	1060
393	687	1057
394	688	1054
395	689	1051
396	690	1048
397	691	1045
398	692	1043
399	693	1040
400	694	1037
401	695	1035
402	697	1032
403	697	1029
404	699	1027
405	700	1024
406	701	1021
407	701	1018
408	702	1015
409	703	1012
410	704	1010
411	705	1007
412	706	1004
413	707	1001
414	708	999
415	709	996
416	710	993
417	712	992
418	713	989
419	714	987
420	715	984
421	716	981
422	717	978
423	718	976
424	719	973
425	720	970
426	721	967
427	722	965
428	723	962
429	724	959
430	725	957
431	726	954
432	726	951
433	728	949
434	729	947
435	730	945
436	731	942
437	733	940
438	734	938
439	735	935
440	736	933
441	737	931
442	738	928
443	739	926
444	740	923
445	741	921
446	742	918
447	743	916
448	744	913
449	745	911
450	746	908
451	747	905
452	748	903
453	749	900
454	749	898
455	750	895
456	751	893
457	752	890
458	753	887
459	754	885
460	755	883
461	756	880
462	757	878
463	758	875
464	759	873
465	760	870
466	761	868
467	761	866
468	762	863
469	763	861
470	764	858
471	765	856
472	766	854
473	767	851
474	768	849
475	769	847
476	770	844
477	771	842
478	772	840
479	773	837
480	774	835
481	775	833
482	776	830
483	777	828
484	777	826
485	778	823
486	779	821
487	780	819
488	781	816
489	782	814
490	783	812
491	784	809
492	785	807
493	786	805
494	787	803
495	788	800
496	789	798
497	789	796
498	790	794
499	791	791
500	792	789
501	793	787
502	794	784
503	795	782
504	796	780
505	796	778
506	797	775
507	798	773
508	799	771
509	800	769
510	801	767
511	802	765
512	803	763
513	804	760
514	805	758
515	806	756
516	807	754
517	808	752
518	809	749
519	809	747
520	810	745
521	811	743
522	812	741
523	813	738
524	814	736
525	815	734
526	817	733
527	818	731
528	819	729
529	820	727
530	821	725
531	821	723
532	822	720
533	823	718
534	824	716
535	825	714
536	826	712
537	827	710
538	828	708
539	829	706
540	830	704
541	831	702
542	832	700
543	833	698
544	833	696
545	834	694
546	835	692
547	836	689
548	837	687
549	838	685
550	839	683
551	840	681
552	840	679
553	841	677
554	842	675
555	843	673
556	844	671
557	845	669
558	846	667
559	847	665
560	848	663
561	849	661
562	850	659
563	850	657
564	851	655
565	852	653
566	853	651
567	854	649
568	855	647
569	856	645
570	857	643
571	857	641
572	858	639
573	859	637
574	861	636
575	862	634
576	863	632
577	864	630
578	865	628
579	865	626
580	866	625
581	867	623
582	868	621
583	869	619
584	870	617
585	871	615
586	872	613
587	873	611
588	874	609
589	875	608
590	876	606
591	877	604
592	878	602
593	879	600
594	880	599
595	880	597
596	881	595
597	882	593
598	883	591
599	884	589
600	885	588
601	886	586
602	887	584
603	888	582
604	889	580
605	890	579
606	891	577
607	892	575
608	893	573
609	894	571
610	895	569
611	896	568
612	896	566
613	897	564
614	898	562
615	899	560
616	900	558
617	901	557
618	902	555
619	902	553
620	903	551
621	905	550
622	906	548
623	907	546
624	908	545
625	909	543
626	910	541
627	910	539
628	911	537
629	912	536
630	913	534
631	914	532
632	915	530
633	915	528
634	916	526
635	917	525
636	918	523
637	920	522
638	921	520
639	922	519
640	923	517
641	924	515
642	925	513
643	926	512
644	927	510
645	928	508
646	929	506
647	929	505
648	930	503
649	931	501
650	932	499
651	933	498
652	934	496
653	936	495
654	937	493
655	938	491
656	939	490
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	944	479
663	944	478
664	945	476
665	946	474
666	947	473
667	948	471
668	949	469
669	951	468
670	952	466
671	952	465
672	953	463
673	954	461
674	955	460
675	956	458
676	957	456
677	958	455
678	959	453
679	959	451
680	960	450
681	961	448
682	962	446
683	963	445
684	964	443
685	965	442
686	966	440
687	967	438
688	968	437
689	969	435
690	970	433
691	971	432
692	972	430
693	972	428
694	973	427
695	974	425
696	975	424
697	976	422
698	977	420
699	978	419
700	980	418
701	981	416
702	982	415
703	983	413
704	984	411
705	984	410
706	985	408
707	986	406
708	987	405
709	988	403
710	989	402
711	989	400
712	990	398
713	991	397
714	992	395
715	993	394
716	994	392
717	995	391
718	996	389
719	997	387
720	998	386
721	999	384
722	1000	383
723	1000	381
724	1001	379
725	1002	378
726	1003	376
727	1004	375
728	1005	373
729	1006	372
730	1007	370
731	1008	369
732	1009	367
733	1010	366
734	1011	364
735	1012	363
736	1013	361
737	1014	360
738	1015	358
739	1016	357
740	1017	355
741	1017	353
742	1018	352
743	1019	350
744	1020	349
745	1021	347
746	1022	346
747	1022	344
748	1024	343
749	1025	341
750	1026	340
751	1027	338
752	1028	337
753	1029	335
754	1030	334
755	1030	332
756	1031	331
757	1032	329
758	1033	328
759	1034	326
760	1035	325
761	1036	323
762	1037	322
763	1038	320
764	1039	319
765	1040	317
766	1041	316
767	1042	314
768	1043	313
769	1044	311
770	1045	310
771	1046	308
772	1046	307
773	1047	305
774	1048	304
775	1049	302
776	1050	301
777	1051	299
778	1051	298
779	1053	297
780	1054	295
781	1055	294
782	1056	292
783	1056	291
784	1057	289
785	1058	288
786	1059	286
787	1060	285
788	1061	283
789	1062	282
790	1063	280
791	1064	279
792	1065	278
793	1065	276
794	1066	275
795	1067	273
796	1068	272
797	1069	270
798	1070	269
799	1071	267
800	1072	266
801	1073	265
802	1074	263
803	1075	262
804	1076	260
805	1076	259
806	1077	257
807	1078	256
808	1079	254
